Date,Revenue,COGS
2023-12-19,2667599.7,2327057.27
2023-12-20,2661576.71,2321803.16
2023-12-21,2655599.17,2316588.71
2023-12-22,2702139.15,2357187.46
2023-12-23,2663874.34,2323807.49
2023-12-24,2662619.43,2322712.78
2023-12-25,2706856.07,2361302.22
2023-12-26,2938544.23,2563413.36
2023-12-27,2966912.69,2588160.34
2023-12-28,3020441.79,2634855.98
2023-12-29,3082226.01,2688752.9
2023-12-30,3009849.92,2625616.26
2023-12-31,3044584.98,2655917.08
2024-01-01,2859670.58,2494608.63
2024-01-02,2869046.29,2502787.44
2024-01-03,2833981.43,2472198.92
2024-01-04,2792297.79,2435836.56
2024-01-05,2757242.82,2405256.66
2024-01-06,2703743.85,2358587.31
2024-01-07,2675865.0,2334267.43
2024-01-08,2687311.13,2344252.36
2024-01-09,2690808.61,2347303.36
2024-01-10,2689068.71,2345785.58
2024-01-11,2693765.9,2349883.12
2024-01-12,2698455.56,2353974.11
2024-01-13,2667675.35,2327123.26
2024-01-14,2681691.26,2339349.92
2024-01-15,2733337.64,2384403.19
2024-01-16,2707082.18,2361499.47
2024-01-17,2709991.37,2364037.27
2024-01-18,2706778.01,2361234.13
2024-01-19,2700115.27,2355421.94
2024-01-20,2665890.26,2325566.05
2024-01-21,2661587.84,2321812.88
2024-01-22,2740317.39,2390491.92
2024-01-23,2736193.38,2386894.37
2024-01-24,2743348.16,2393135.78
2024-01-25,2752664.25,2401262.59
2024-01-26,3027177.02,2640731.4
2024-01-27,2962608.46,2584405.58
2024-01-28,3007876.7,2623894.94
2024-01-29,3192523.0,2784969.52
2024-01-30,3240850.16,2827127.3
2024-01-31,3300606.75,2879255.43
2024-02-01,2946924.39,2570723.72
2024-02-02,2963142.45,2584871.41
2024-02-03,2829666.85,2468435.13
2024-02-04,2790901.06,2434618.13
2024-02-05,2829886.42,2468626.67
2024-02-06,2830147.37,2468854.31
2024-02-07,2760631.25,2408212.53
2024-02-08,2696372.12,2352156.64
2024-02-09,2697959.14,2353541.06
2024-02-10,2650246.74,2311919.57
2024-02-11,2651872.08,2313337.42
2024-02-12,2702054.92,2357113.98
2024-02-13,2720401.2,2373118.2
2024-02-14,2743481.0,2393251.66
2024-02-15,2738861.11,2389221.53
2024-02-16,2709619.08,2363712.51
2024-02-17,2675959.21,2334349.62
2024-02-18,2676314.47,2334659.52
2024-02-19,2710603.98,2364571.67
2024-02-20,2710363.69,2364362.06
2024-02-21,2700612.88,2355856.03
2024-02-22,2755759.58,2403962.77
2024-02-23,2750600.55,2399462.34
2024-02-24,2713708.67,2367280.03
2024-02-25,2720902.25,2373555.28
2024-02-26,3072793.9,2680524.89
2024-02-27,3119238.42,2721040.36
2024-02-28,3203638.87,2794666.36
2024-02-29,3297092.68,2876189.97
2024-03-01,2984100.62,2603154.08
2024-03-02,2907024.54,2535917.43
2024-03-03,2921763.89,2548775.18
2024-03-04,3053295.89,2663515.97
2024-03-05,2999771.61,2616824.53
2024-03-06,3014481.15,2629656.27
2024-03-07,2947445.33,2571178.16
2024-03-08,2860993.21,2495762.41
2024-03-09,2757179.04,2405201.03
2024-03-10,2736071.05,2386787.65
2024-03-11,2819143.41,2459255.1
2024-03-12,2808241.08,2449744.55
2024-03-13,2817316.1,2457661.07
2024-03-14,2816008.33,2456520.24
2024-03-15,2794296.71,2437580.3
2024-03-16,2730683.21,2382087.62
2024-03-17,2738493.65,2388900.99
2024-03-18,2764423.19,2411520.39
2024-03-19,2761613.14,2409069.07
2024-03-20,2756288.57,2404424.23
2024-03-21,2740206.48,2390395.16
2024-03-22,2801848.28,2444167.84
2024-03-23,2742446.87,2392349.54
2024-03-24,2739949.84,2390171.28
2024-03-25,2794737.41,2437964.74
2024-03-26,3111435.86,2714233.86
2024-03-27,3156784.24,2753793.13
2024-03-28,3241099.9,2827345.16
2024-03-29,3342548.52,2915842.97
2024-03-30,3309849.03,2887317.86
2024-03-31,3385059.55,2952927.1
2024-04-01,3025544.96,2639307.69
2024-04-02,3056871.64,2666635.25
2024-04-03,3003077.71,2619708.58
2024-04-04,2938255.63,2563161.6
2024-04-05,2874182.12,2507267.64
2024-04-06,2777401.04,2422841.51
2024-04-07,2708199.08,2362473.79
2024-04-08,2693501.24,2349652.25
2024-04-09,2692377.74,2348672.18
2024-04-10,2682924.97,2340426.14
2024-04-11,2684390.25,2341704.36
2024-04-12,2686246.35,2343323.51
2024-04-13,2663490.77,2323472.88
2024-04-14,2686832.75,2343835.05
2024-04-15,2738600.99,2388994.62
2024-04-16,2708472.01,2362711.87
2024-04-17,2717312.8,2370424.06
2024-04-18,2717331.84,2370440.67
2024-04-19,2710803.17,2364745.44
2024-04-20,2672691.23,2331498.82
2024-04-21,2664313.04,2324190.18
2024-04-22,2780191.51,2425275.75
2024-04-23,2772367.41,2418450.47
2024-04-24,2786574.46,2430843.86
2024-04-25,2804448.2,2446435.87
2024-04-26,3129410.99,2729914.31
2024-04-27,3085313.71,2691446.43
2024-04-28,3166677.22,2762423.18
2024-04-29,3383819.75,2951845.57
2024-04-30,3440632.5,3001405.67
2024-05-01,3184053.93,2777581.6
2024-05-02,3223955.36,2812389.27
2024-05-03,3267372.04,2850263.42
2024-05-04,3102042.48,2706039.63
2024-05-05,3041295.81,2653047.8
2024-05-06,3195626.05,2787676.44
2024-05-07,3102642.8,2706563.31
2024-05-08,2975254.92,2595437.61
2024-05-09,2912501.96,2540695.62
2024-05-10,2894886.51,2525328.93
2024-05-11,2771137.3,2417377.39
2024-05-12,2758596.08,2406437.16
2024-05-13,2830081.7,2468797.02
2024-05-14,2825945.06,2465188.46
2024-05-15,2794004.25,2437325.17
2024-05-16,2797589.9,2440453.08
2024-05-17,2747149.15,2396451.54
2024-05-18,2697616.64,2353242.29
2024-05-19,2693875.75,2349978.95
2024-05-20,2742306.57,2392227.16
2024-05-21,2740304.46,2390480.63
2024-05-22,2794177.8,2437476.57
2024-05-23,2791363.85,2435021.84
2024-05-24,2787213.54,2431401.36
2024-05-25,2752970.24,2401529.51
2024-05-26,3045897.4,2657061.96
2024-05-27,3187190.04,2780317.36
2024-05-28,3290255.35,2870225.48
2024-05-29,3408529.68,2973401.06
2024-05-30,3495425.76,3049204.09
2024-05-31,3558639.48,3104348.03
2024-06-01,3228719.16,2816544.93
2024-06-02,3288997.65,2869128.33
2024-06-03,3388532.43,2955956.63
2024-06-04,3358580.87,2929828.65
2024-06-05,3320685.57,2896771.01
2024-06-06,3322347.61,2898220.89
2024-06-07,3227125.42,2815154.64
2024-06-08,2972432.55,2592975.54
2024-06-09,2945951.48,2569875.01
2024-06-10,3010989.67,2626610.5
2024-06-11,2965053.51,2586538.5
2024-06-12,2919256.11,2546587.54
2024-06-13,2904695.02,2533885.3
2024-06-14,2893115.51,2523784.01
2024-06-15,2772072.25,2418192.99
2024-06-16,2725466.25,2377536.65
2024-06-17,2787523.09,2431671.39
2024-06-18,2773413.57,2419363.08
2024-06-19,2759178.38,2406945.13
2024-06-20,2759050.7,2406833.75
2024-06-21,2755198.27,2403473.12
2024-06-22,2743312.18,2393104.39
2024-06-23,2739974.47,2390192.77
2024-06-24,2820162.04,2460143.69
2024-06-25,2844102.66,2481028.08
2024-06-26,3197926.67,2789683.37
2024-06-27,3270288.2,2852807.31
2024-06-28,3384525.72,2952461.41
2024-06-29,3425574.1,2988269.61
2024-06-30,3500386.16,3053531.26
2024-07-01,3109042.11,2712145.7
